,UNKNOWN,Abl(h),ACK1(h),ALK(h),ALK4(h),AMPKa1(h),AMPKa2(h),Arg(h),ARK5(h),ASK1(h),Aurora-A(h),Aurora-B(h),Aurora-C(h),Axl(h),Blk(h),Bmx(h),BRK(h),BrSK1(h),BrSK2(h),BTK(h),CaMKI(h),CaMKIIb(h),CaMKIIg(h),CaMKIId(h),CaMKIV(h),CaMKId(h),CDK1/cyclinB(h),CDK2/cyclinA(h),CDK2/cyclinE(h),CDK3/cyclinE(h),CDK5/p25(h),CDK5/p35(h),CDK6/cyclinD3(h),CDK7/cyclinH/MAT1(h),CDK9/cyclin T1(h),CHK1(h),CHK2(h),CK1g1(h),CK1g2(h),CK1g3(h),CK1d(h),CK2(h),CK2a2(h),cKit(h),CLK2(h),CLK3(h),c-RAF(h),CSK(h),cSRC(h),DAPK1(h),DAPK2(h),DCAMKL2(h),DDR2(h),DMPK(h),DRAK1(h),DYRK2(h),eEF-2K(h),EGFR(h),EphA1(h),EphA2(h),EphA3(h),EphA4(h),EphA5(h),EphA7(h),EphA8(h),EphB1(h),EphB2(h),EphB3(h),EphB4(h),ErbB4(h),FAK(h),Fer(h),Fes(h),FGFR1(h),FGFR2(h),FGFR3(h),FGFR4(h),Fgr(h),Flt1(h),Flt3(h),Flt4(h),Fms(h),Fyn(h),GCK(h),GRK5(h),GRK6(h),GRK7(h),GSK3a(h),GSK3b(h),Haspin(h),Hck(h),Hck(h) activated,HIPK1(h),HIPK2(h),HIPK3(h),IGF-1R(h),"IGF-1R(h), activated",IKKa(h),IKKb(h),IR(h),"IR(h), activated",IRAK1(h),IRAK4(h),IRR(h),Itk(h),JAK2(h),JAK3(h),JNK1a1(h),JNK2a2(h),JNK3(h),KDR(h),Lck(h),Lck(h) activated,LIMK1(h),LKB1(h),LOK(h),Lyn(h),MAPK1(h),MAPK2(h),MAPKAP-K2(h),MAPKAP-K3(h),MARK1(h),MEK1(h),MELK(h),Mer(h),Met(h),MINK(h),MKK6(h),MKK7b(h),MLCK(h),MLK1(h),Mnk2(h),MRCKa(h),MRCKb(h),MSK1(h),MSK2(h),MSSK1(h),MST1(h),MST2(h),MST3(h),mTOR(h),mTOR/FKBP12(h),MuSK(h),NEK11(h),NEK2(h),NEK3(h),NEK6(h),NEK7(h),NLK(h),p70S6K(h),PAK2(h),PAK3(h),PAK4(h),PAK5(h),PAK6(h),PAR-1Ba(h),PASK(h),PDGFRa(h),PDGFRb(h),PDK1(h),PhKg2(h),Pim-1(h),Pim-2(h),Pim-3(h),PKA(h),PKBa(h),PKBb(h),PKBg(h),PKCa(h),PKCbI(h),PKCbII(h),PKCg(h),PKCd(h),PKCe(h),PKCz(h),PKCh(h),PKCq(h),PKCi(h),PKCm(h),PKD2(h),PKG1a(h),PKG1b(h),Plk1(h),Plk3(h),PRAK(h),PRK2(h),PrKX(h),PTK5(h),Pyk2(h),Ret(h),RIPK2(h),ROCK-I(h),ROCK-II(h),Ron(h),Ros(h),Rse(h),Rsk1(h),Rsk2(h),Rsk3(h),Rsk4(h),SAPK2a(h),SAPK2b(h),SAPK3(h),SAPK4(h),SGK(h),SGK2(h),SGK3(h),SIK(h),Snk(h),SRPK1(h),SRPK2(h),STK33(h),Syk(h),TAK1(h),TAO1(h),TAO2(h),TAO3(h),TBK1(h),Tec(h) activated,TGFBR1(h),Tie2 (h),TLK2(h),TrkA(h),TrkB(h),TSSK1(h),TSSK2(h),Txk(h),ULK2(h),ULK3(h),VRK2(h),WNK2(h),WNK3(h),Yes(h),ZAP-70(h),ZIPK(h)
Bcr-abl Inhibitor (GNF-2),44.89123486,18,-9,-10,-19,1,-31,12,-9,10,17,24,-16,11,18,-18,-10,2,-20,4,-3,-5,-16,-5,6,-10,-6,-39,-8,-8,7,-12,-8,-4,-2,1,5,6,19,21,10,1,-10,-18,-13,3,-2,-14,13,-4,3,-5,-18,-14,-4,-2,-12,-10,-23,-19,-16,-16,-15,0,-13,-7,-17,5,-14,-32,-47,-18,-25,4,-19,-27,-25,-18,-3,3,10,26,-3,-10,-2,6,-12,2,5,16,2,-1,-6,-12,-3,-21,-15,-28,-11,-15,-4,5,-15,-39,-5,-10,2,-28,-5,-24,0,-39,8,-20,5,-23,3,-9,-6,-4,-5,-4,-8,26,-13,-5,-10,-44,-17,12,5,9,-27,-17,-15,-8,-16,-10,-10,26,6,-13,-16,20,1,-18,-11,-17,6,3,-14,-2,-8,8,-25,-5,-6,-18,-20,-20,2,11,-11,-4,11,-7,1,-19,-15,-14,8,-15,-3,-7,-4,-22,-20,8,-8,-1,-1,7,-3,0,-2,-9,-14,-8,-28,-2,7,-26,-25,-7,-10,-2,-30,43,-6,-12,-6,-6,-9,-21,-42,8,-6,4,-16,-23,-6,-7,-19,-4,-11,-7,-12,2,-19,-6,-5,-1,7,-17,-8,-5,-1,-15,0,-15,-24,-23,-11,-34,-2
Bisindolylmaleimide I (GF109203X),30.18703998,-8,-12,6,-19,56,74,10,65,4,0,69,-9,30,35,9,-10,58,29,11,11,37,72,84,12,37,-2,-28,3,12,25,19,-3,53,83,46,48,-7,-1,17,10,-7,5,-15,86,34,-13,-22,18,-6,28,4,-13,69,-8,-3,-13,-3,5,-2,-9,-12,-23,-8,-20,4,-19,-8,-24,-13,-33,-13,-25,50,12,6,-21,4,86,90,93,50,-2,25,39,13,42,82,76,57,26,-13,10,31,13,-27,-10,-1,-4,-15,0,-11,-21,-37,-2,-21,8,-11,0,-17,39,-9,20,-17,-5,67,21,-1,2,-8,-37,35,-9,59,40,2,16,7,21,80,42,7,-15,5,76,82,-13,60,27,73,16,17,-34,28,6,2,4,-17,-27,89,-15,10,-2,12,5,33,26,-21,-6,37,12,99,85,78,40,-3,-7,70,99,96,91,99,98,90,28,91,97,26,-8,3,40,66,-14,-1,-25,77,-3,-2,-15,5,10,17,-19,-2,-8,4,85,99,99,96,-9,-6,-25,-26,40,59,-1,29,-13,-30,2,21,-20,-3,3,-1,12,20,-13,9,-20,79,52,64,14,-3,3,-10,-1,-19,-20,-21,-5,-33,38
"Casein Kinase I Inhibitor, D4476",-1.437634215,-13,21,26,69,10,8,-13,-2,2,14,11,16,23,12,12,-9,1,-19,-4,9,-4,-7,0,-16,-14,-8,4,8,-2,7,4,-3,8,15,-6,8,18,7,24,83,5,-19,-5,-8,19,15,-19,4,14,-5,-6,2,7,11,-8,-6,-12,-7,-6,0,-18,-15,-3,-2,7,4,-17,15,11,-15,2,-8,-4,-17,-16,-22,-9,18,36,21,26,19,-6,-4,5,-7,-6,-17,5,32,-5,-8,-3,-8,-15,-3,-10,-9,-36,-6,-8,-12,-24,-8,1,-2,-17,-7,-6,-1,24,-8,-8,-9,35,17,4,-15,0,-3,4,-2,27,-3,4,-6,3,9,-7,6,-8,-6,5,-20,-9,-5,10,-14,9,0,-13,-4,43,5,15,-3,-4,-2,26,-7,17,1,-2,-2,-13,-14,-4,-13,-8,10,-2,-16,4,8,-19,12,2,10,-24,-1,-2,7,-2,-2,6,-2,-1,13,2,-10,-11,19,-8,-10,-20,18,2,-17,-4,45,-18,-3,6,-3,-12,-26,44,-16,10,23,7,-8,-19,2,3,-8,-3,7,-6,9,-6,-3,5,4,0,-7,17,4,62,-11,9,5,4,14,-10,10,5,-1,-18,-13,-23,-15,12,7
"Cdc2-Like Kinase Inhibitor, TG003",6.873432454,22,19,2,-22,21,14,1,-5,-7,20,-11,16,23,16,17,-6,0,-14,10,16,9,8,11,-11,5,6,10,19,18,16,4,4,18,11,4,10,31,58,49,71,9,6,-14,80,23,19,0,-1,19,10,17,12,20,-4,95,6,-14,10,6,3,-9,-1,7,11,7,-13,-10,4,25,5,-3,-4,11,-8,-8,-7,17,3,36,17,19,20,26,5,0,14,5,-5,83,24,6,7,9,18,30,5,-7,7,12,-5,-1,11,-9,4,12,-10,-3,4,35,15,19,6,13,0,1,51,9,-15,28,20,33,3,16,4,-14,-6,-8,25,10,7,9,6,21,-2,6,-5,13,-3,31,-20,-21,18,51,17,19,-16,-4,24,-14,-4,-16,5,-10,3,2,9,-8,10,-2,-11,75,15,49,10,-11,0,6,-1,-10,1,5,-2,18,6,16,8,-6,41,3,9,27,15,-1,-14,6,-11,9,-9,0,29,-6,22,29,6,-6,2,12,23,0,11,-4,5,7,20,17,0,-13,7,10,1,18,4,9,25,-2,8,30,15,26,15,13,16,-1,-1,23,19,-3,7,9,24,17,-2,-15,19
cFMS Receptor Tyrosine Kinase Inhibitor (GW2580),1.758929889,7,21,26,-20,10,6,-13,9,15,-8,-10,10,20,-7,14,-9,11,1,-3,-5,9,3,-1,-30,-3,-10,-26,-1,-1,12,15,12,6,6,9,3,-3,11,-3,12,14,-10,-7,-8,14,14,-5,16,6,-6,-5,-12,-15,-12,3,8,-12,4,-10,-8,-8,-11,9,7,3,-8,-14,1,1,-15,-7,6,-12,-12,-8,-31,-1,6,4,5,99,8,17,17,5,12,-20,-6,8,12,-2,-7,0,8,-28,5,-14,-9,-2,6,24,-6,-37,0,-1,-5,-1,-5,11,3,-10,5,7,-6,12,-4,0,-2,16,-25,20,0,11,-8,-9,16,22,-13,17,9,-8,-2,9,-31,9,-11,7,-5,39,-16,-20,8,-10,23,-5,3,4,3,20,2,27,1,14,-12,-6,21,-7,-6,-4,9,3,4,10,-8,-6,12,2,-3,-7,7,-3,2,11,-1,4,12,3,19,-1,-13,8,20,17,19,1,2,-2,-3,8,17,-12,12,13,19,14,-31,36,6,-10,16,5,12,-11,-5,-8,13,14,2,1,9,-8,-18,12,5,0,5,39,0,21,10,4,51,45,9,7,17,1,1,8,-6,-8,-4,7,4
"ERK Inhibitor II, FR180204",22.94149468,36,39,23,-11,10,8,34,-5,4,-5,9,17,2,0,41,5,8,-3,14,-1,7,-3,6,5,8,-7,8,7,10,5,-12,19,-6,2,10,2,6,1,1,40,2,-1,5,2,16,20,-7,-3,17,5,-28,6,8,17,6,-12,13,4,9,6,-4,9,9,9,2,-17,-1,17,19,4,5,15,-10,2,-13,-1,14,29,28,24,33,29,33,7,13,17,23,11,-28,24,13,-5,-3,3,15,18,-15,-2,30,11,5,34,12,4,5,-3,1,45,81,14,12,6,18,9,20,34,79,32,-2,1,17,11,9,14,22,11,-4,12,-13,14,4,-11,10,-2,7,7,29,21,55,-13,-29,10,-7,9,17,-7,-6,14,-12,2,0,6,-12,7,-7,-4,-5,3,-2,-4,2,-23,12,3,-11,-8,1,3,1,-2,2,78,-1,-16,44,53,-15,44,4,5,8,22,3,-4,9,8,1,5,-8,12,-6,16,34,9,-2,-8,-11,10,-2,22,6,9,1,5,13,-6,15,1,8,0,4,8,10,13,10,13,25,18,12,6,11,32,6,13,-4,23,5,8,11,12,17,7,0,-5
Flt-3 Inhibitor (TCS 359),47.74683212,13,23,44,-31,10,7,-26,13,-14,7,31,3,24,-9,20,-8,7,-5,16,-2,17,14,14,-7,-5,2,-34,-6,-1,-1,15,6,29,4,19,23,16,10,-7,11,5,-26,15,10,50,13,-1,24,7,10,14,-1,-13,-25,2,17,-30,8,-9,-10,-12,6,8,-7,17,-22,-10,2,13,-19,-8,-23,13,14,-4,-7,-10,28,68,90,61,21,19,9,10,8,-21,19,-9,34,5,1,1,6,-15,13,-5,1,-5,4,8,46,-16,-1,20,1,-6,1,34,29,0,12,-2,-4,0,31,3,-11,30,29,19,-20,22,-7,-20,5,20,10,20,10,1,8,11,-23,9,-4,8,-5,32,-1,5,8,23,20,-10,10,13,12,-6,4,8,8,-4,5,10,5,13,11,5,22,20,13,8,3,-3,-22,-2,-6,-9,-11,-17,-1,11,4,2,11,11,11,-3,-4,21,6,10,41,12,20,9,-21,7,21,-1,4,1,4,14,1,-11,6,-18,7,4,5,0,15,1,26,9,2,16,11,9,-26,14,3,8,9,28,11,29,21,5,42,30,6,6,7,-2,1,-7,-4,-1,-6,-3,24
Go 6976,43.74047178,21,97,100,-8,78,81,15,90,83,96,100,53,47,72,95,71,94,93,90,20,89,98,99,0,44,80,78,93,68,95,97,52,26,43,98,75,22,7,26,30,11,-29,-13,49,20,28,-7,31,-1,7,44,10,-21,64,24,0,32,10,9,17,-12,12,57,17,37,-16,-5,9,9,67,96,68,93,47,10,-11,59,96,100,98,86,53,98,31,10,84,80,85,89,69,31,15,80,69,-45,10,52,28,11,7,53,101,31,96,96,99,12,6,93,93,35,46,52,18,79,79,48,52,5,-31,96,64,91,54,-7,79,100,48,84,98,90,13,26,97,98,10,99,98,53,-15,28,68,51,24,0,7,5,50,99,-1,53,97,88,96,95,7,2,12,94,99,82,75,42,72,-6,0,49,99,94,77,91,41,46,-2,28,71,20,95,71,60,71,16,8,45,89,81,58,96,101,30,2,57,11,99,13,93,99,100,96,16,3,39,1,18,24,15,91,5,10,15,94,97,41,93,90,81,89,96,31,46,27,100,56,88,36,92,1,61,3,3,-5,55,19,11
Go 6983,66.24428307,-7,35,20,-27,48,62,-13,63,5,0,61,11,12,43,40,2,59,33,13,4,20,38,58,-5,68,-4,-12,0,-2,14,17,18,50,71,33,66,13,9,-11,21,13,-30,-9,86,41,19,-1,18,11,29,46,-11,-3,13,6,11,18,29,-4,-6,-15,3,8,0,20,-9,-11,7,25,5,-2,4,62,28,37,-20,14,98,79,98,41,15,25,14,7,14,85,70,2,35,2,12,43,28,-34,-1,20,-3,0,3,19,16,-22,-1,-14,-2,-4,-11,26,72,10,35,1,-1,46,37,-4,-14,6,-3,25,-2,46,19,-11,14,-10,11,49,37,-5,26,20,63,61,10,36,7,79,-13,-13,4,50,24,-2,9,7,6,78,6,37,16,19,5,36,9,-6,8,38,9,89,64,43,63,-10,-33,70,101,96,96,97,97,97,18,90,97,11,-8,2,15,36,16,5,5,32,13,3,-16,25,15,-5,5,23,17,21,94,98,100,96,5,-5,0,3,-7,20,4,23,3,3,7,29,-13,18,11,15,18,41,9,31,1,79,28,23,17,19,16,-1,0,-2,-7,-5,25,1,39
GSK-3 Inhibitor IX (BIO),29.16413947,104,86,65,-9,98,99,84,89,9,69,97,26,48,99,94,10,67,96,99,41,85,97,99,41,32,46,63,97,100,94,98,60,66,68,55,82,36,29,46,49,6,6,82,8,21,23,6,98,20,50,11,26,-10,92,13,6,34,1,73,75,-9,63,32,31,66,67,0,83,16,41,14,21,97,84,41,33,99,101,99,99,95,99,84,11,11,6,101,101,32,94,99,12,72,27,-12,1,-5,-1,25,2,7,65,22,78,32,80,7,21,62,97,98,99,67,1,28,96,-2,-8,4,2,79,29,66,74,-18,9,13,20,75,79,38,-41,17,28,40,7,92,90,38,24,-19,20,31,11,35,-8,-2,21,70,25,27,70,61,49,82,6,70,64,58,45,33,-6,22,11,-14,9,17,2,0,-2,-1,-12,-7,-3,24,13,-10,10,-1,10,22,21,0,24,25,27,98,90,99,22,-13,10,21,10,19,28,76,83,62,15,3,5,11,72,53,14,82,3,2,12,27,30,11,32,25,32,92,85,12,33,19,100,101,14,27,87,-2,45,6,11,7,99,3,62
GSK-3b Inhibitor I (TDZD-8),42.76019212,16,23,36,-7,17,11,-18,-1,19,17,12,24,4,-2,17,4,14,-19,9,25,8,-5,2,27,5,-12,21,4,17,19,3,11,1,7,12,29,4,4,17,19,15,-6,0,-6,36,29,8,-16,20,3,0,22,-16,0,4,4,-4,4,7,13,-3,-12,14,13,10,-15,-4,13,13,5,10,7,8,-8,-35,-3,10,15,14,15,9,1,12,12,12,11,5,-11,23,25,11,-2,6,0,7,11,9,-2,7,4,2,26,-2,3,9,-9,11,9,25,1,14,-1,14,3,5,18,17,5,28,6,24,4,12,4,-41,4,-11,-1,10,8,3,2,27,-17,4,-7,-4,2,29,-9,-17,27,57,5,17,-5,-4,18,33,3,3,6,3,4,-3,0,0,5,-1,10,-17,-15,20,9,-14,7,15,15,6,11,41,13,12,-5,21,11,13,10,1,-1,-2,31,3,-8,9,24,12,1,6,8,-11,9,19,21,-2,-18,51,1,5,13,11,10,0,9,9,1,-15,-1,17,7,5,-1,15,13,5,9,39,3,23,-11,16,19,18,37,12,17,10,8,2,4,1,-2,2,13
GSK-3b Inhibitor VIII (AR-A014418),16.03691622,17,23,30,16,8,-6,-15,-10,8,11,9,25,7,100,15,76,0,-12,58,15,18,1,6,-5,-7,1,22,13,32,36,13,12,-1,23,8,10,1,7,19,18,11,7,13,-2,11,22,19,40,9,-2,1,12,0,2,16,-9,12,11,6,12,0,-14,10,10,-11,-5,-17,15,57,10,17,16,-2,0,-12,5,69,26,18,41,23,-5,17,15,16,12,93,72,-1,87,48,-7,6,6,9,2,-11,-9,7,3,10,28,5,14,7,7,1,7,35,12,20,94,21,6,-15,98,-2,-20,33,-4,15,2,1,8,0,-3,4,13,-9,8,6,-18,14,-14,12,3,-8,6,31,-5,-23,32,49,16,26,-14,-11,13,18,-4,18,6,2,3,4,-33,4,-1,0,-22,-16,-34,19,-9,-16,-5,3,-2,6,1,1,-1,11,-4,7,11,-10,5,3,5,19,36,4,5,10,45,27,28,8,21,-25,8,19,12,-6,-36,39,8,8,6,1,6,4,5,4,1,-11,0,2,10,6,14,8,7,1,11,41,-2,7,0,17,29,11,-1,9,33,9,11,7,11,12,90,0,3
"GSK3b Inhibitor XII, TWS119",42.20612101,106,90,58,28,47,46,103,69,4,72,91,28,-1,93,98,100,55,25,79,12,25,60,58,-7,-8,19,26,9,18,47,28,-1,-1,69,55,46,14,0,3,14,-1,-11,80,7,25,64,21,94,11,-2,-4,77,2,18,11,-13,100,98,70,96,52,76,36,70,93,96,-5,98,29,13,42,87,98,79,47,28,100,100,78,101,97,100,58,8,7,8,73,78,14,96,103,-8,5,-6,1,-5,12,-14,-5,-3,31,21,2,32,20,17,-2,10,6,95,97,96,86,33,66,98,-6,-20,29,-26,49,6,27,19,37,59,26,20,15,93,32,-23,5,2,10,-8,27,1,35,-11,-22,27,46,3,58,-6,-14,21,29,-5,18,37,13,14,34,-23,52,52,8,-20,25,-18,14,6,-12,9,-7,-9,4,-4,2,0,-20,1,17,12,-14,20,1,-3,-9,22,1,0,2,15,99,75,98,82,-10,7,17,2,94,3,32,24,44,46,72,-7,-5,4,-1,-7,92,4,-3,-1,10,82,52,18,22,16,30,83,-1,82,10,39,26,-1,18,73,-10,69,0,12,7,99,-7,8
H 89 2HCl,4.827631428,-20,23,27,-1,48,40,7,58,-2,-12,57,20,-8,-10,20,-5,20,-7,5,-4,24,0,9,-6,-10,-4,12,6,4,6,-22,-13,9,28,19,19,8,-8,4,6,-1,-8,-19,-11,21,15,0,-24,4,6,13,10,-21,2,2,-23,-7,5,3,-1,-11,-17,1,11,-1,-16,-1,7,2,4,2,25,-1,-13,-8,-18,-4,14,14,19,-16,25,24,0,2,-2,-4,-36,93,12,-1,-3,-3,0,10,-3,3,-26,-13,-7,1,-3,-19,-19,-7,-10,-1,3,-26,3,17,8,21,-9,29,14,2,-9,-5,-12,24,-2,55,15,0,-2,5,16,-1,8,-5,-9,3,81,91,-3,15,-15,22,6,-20,19,31,-10,16,-11,-15,-4,87,0,1,-3,2,4,12,-41,-14,8,-7,-7,3,-39,14,98,5,14,69,-11,-4,14,15,46,2,1,34,39,-2,-1,-7,96,96,9,3,1,74,100,-1,-3,-8,7,11,92,10,-5,8,47,74,30,82,12,2,-3,-2,16,15,7,-37,-9,-10,-14,10,7,0,-2,-5,1,15,6,-4,3,-5,8,15,0,-13,26,-6,3,-2,-9,14,-16,-9,12
"HA-1077, Dihydrochloride",23.70867007,-10,9,-17,-4,6,-16,6,3,-4,-16,-15,4,-8,-20,2,-5,-8,-17,6,-3,-3,0,-3,-3,-23,-6,-1,1,-2,-16,-11,-8,-5,19,-1,10,-24,-24,-27,6,-3,5,-13,-4,6,19,-6,-14,11,1,-20,1,-7,-11,-4,-6,-2,0,2,1,-15,-9,-7,-5,-14,-1,-7,-8,-18,-10,8,-9,-27,-3,-6,4,2,-2,13,6,-20,16,-4,-5,0,-8,3,-36,40,1,-6,-12,-4,2,4,-6,1,-34,-31,-5,-14,-10,6,-5,-3,2,-14,7,-14,-13,2,-3,-8,0,-6,17,-36,-17,-7,-11,-6,-7,25,-10,-43,-17,-12,15,-27,-10,1,-14,-1,19,42,-1,3,10,-13,11,-3,-17,11,-13,8,-4,-16,-5,10,-9,6,-6,-31,5,1,17,-6,-16,-11,-5,8,-38,4,47,-7,-9,3,-6,25,13,3,15,-10,-11,20,3,-6,16,0,43,32,-2,8,-5,44,79,-15,-4,47,-5,2,75,2,-10,4,16,18,24,15,10,-18,-2,-11,16,-12,-16,-26,-8,-5,-7,-7,-9,-3,-5,-21,-5,-15,10,-21,-7,0,-10,17,-5,1,9,-11,2,-1,-12,4,-28,-28,6
IC261,5.125977411,-4,29,11,-18,-4,-13,-23,-2,9,-7,41,17,2,8,27,-4,9,-7,7,4,-2,-5,-7,-6,-4,-19,19,4,16,12,1,10,10,6,12,11,-1,-21,-6,63,12,6,2,-21,17,33,-13,-10,16,0,-20,3,-17,-3,-2,3,-19,11,12,3,-3,-28,6,5,0,-10,-24,14,-17,8,3,-2,-7,-2,-39,-21,14,8,17,24,13,30,5,-1,11,5,-5,-32,30,11,7,-2,-4,-3,7,5,-9,-20,18,2,0,19,-1,-1,-3,-5,6,11,15,4,27,-6,17,5,-2,7,4,-16,12,-3,11,-4,-4,5,-3,-5,-5,2,12,8,1,-17,17,-19,4,-1,-8,-2,20,-15,-20,12,57,10,20,-9,-14,8,-24,3,-4,11,4,-13,-8,8,18,-6,-12,0,-10,-37,19,0,-12,10,-3,-4,-5,-3,2,-3,5,-19,6,15,-15,16,-8,3,17,24,9,-10,1,-15,10,-14,1,9,-27,12,23,4,-15,-2,37,4,-3,11,1,3,-12,18,-17,8,-6,0,-10,-4,8,-2,8,5,-4,10,39,2,21,7,9,11,-20,8,-2,-7,-9,5,17,11,7,-12,10,-13
IGF-1R Inhibitor II (PQ 401),15.0140157,13,10,23,-21,12,-4,15,6,-9,11,-14,-1,2,-5,18,-6,40,23,-10,-1,12,-4,-8,-12,-10,-14,-20,-1,7,2,5,5,20,8,14,15,6,6,-10,4,6,-19,-6,-2,10,21,-1,7,6,-1,-9,17,6,3,-1,3,-3,11,-1,-2,-8,3,17,-6,12,-2,-6,4,4,-27,-7,-18,-1,-7,-6,-11,1,4,-1,-5,11,-1,7,-8,2,1,-12,-1,-12,7,0,3,2,1,-47,-2,7,6,-14,-3,4,-2,-15,-3,-24,-5,-11,1,15,-2,-17,12,-1,-5,4,11,23,0,20,-2,14,25,12,-7,11,-7,0,13,17,9,-7,-16,13,-34,-5,-1,7,-9,30,-1,-9,3,21,22,-9,-19,-8,1,3,-12,35,4,20,9,-1,2,-12,7,-2,8,13,0,4,-6,5,-45,-1,2,-6,-4,-5,-2,18,-4,-15,11,12,5,-2,-5,21,5,4,11,8,5,6,-21,7,1,-3,4,-2,4,-2,-25,-26,-2,-10,18,-6,5,-11,20,-13,-3,7,-11,-1,6,1,-18,2,-2,-4,5,22,7,14,26,3,0,12,5,0,-3,-4,-5,2,-2,6,-1,-13,12
IKK-2 Inhibitor IV (TPCA-1),62.32316443,37,90,22,-12,31,34,29,71,52,68,99,91,23,61,82,23,45,17,62,26,14,18,17,4,24,0,41,21,27,30,19,22,13,11,63,66,-4,0,6,29,32,22,44,-5,29,46,8,46,17,5,4,23,0,31,4,23,-12,91,68,20,7,10,26,16,89,7,-17,51,9,32,17,22,71,50,19,-6,72,83,78,96,89,76,75,7,15,33,36,-1,37,76,63,-6,6,0,18,35,55,88,45,44,16,54,31,78,96,58,6,16,40,59,71,50,54,8,49,84,20,-8,8,2,43,56,28,46,-42,19,3,4,8,91,28,-11,20,-20,15,4,72,32,62,-14,-18,38,75,13,31,-4,-2,11,22,7,4,45,33,12,20,-7,59,11,43,-5,5,7,20,8,-14,5,15,9,-3,-5,24,22,-2,-14,26,17,-9,42,0,13,16,30,12,4,18,15,37,44,70,33,-18,11,27,9,9,15,67,70,68,9,11,10,10,4,-11,7,72,-1,-5,-2,11,24,52,58,61,39,65,51,25,18,28,92,73,38,12,51,14,31,5,10,19,62,4,15
Indirubin-3-monoxime,22.13169844,51,66,48,-4,98,99,70,96,48,93,99,39,83,89,79,9,87,90,69,28,67,88,90,34,29,65,81,94,95,97,95,84,58,74,35,87,43,36,37,86,-12,-2,80,86,21,11,-1,65,9,27,-19,6,-9,94,21,-9,85,45,39,42,4,41,30,16,41,9,-5,33,-7,61,30,28,97,78,80,0,92,99,99,101,85,95,87,8,19,27,95,90,74,85,92,10,52,12,63,60,24,13,83,65,40,59,98,81,8,79,37,45,93,96,87,78,39,17,34,92,-14,-4,-1,-17,63,36,85,102,14,46,37,48,54,94,38,-42,-6,39,68,15,92,94,58,0,-17,42,30,7,14,9,-6,18,63,-3,12,45,36,37,52,-12,13,16,47,75,24,32,6,10,-7,2,5,7,7,5,8,15,-6,-1,9,19,4,-13,-9,23,21,17,4,22,9,52,87,86,99,40,-8,15,14,-5,38,60,50,81,80,6,-1,5,10,41,39,11,57,3,10,4,57,51,36,17,25,15,91,36,-4,-3,40,100,100,22,5,55,7,45,29,10,11,83,21,19
JAK3 Inhibitor II WHI-P154,10.4109634,36,86,81,-11,18,7,24,22,23,51,57,55,64,79,35,82,83,9,20,-4,27,32,21,-22,2,0,-10,-2,16,16,2,13,19,9,20,54,10,29,3,19,42,3,-2,20,18,36,10,46,12,4,27,10,-5,23,52,4,104,65,10,21,11,26,66,30,38,35,1,81,84,-6,-5,5,42,6,-9,-26,61,71,51,86,37,51,48,11,15,25,-16,11,35,68,71,3,13,5,29,13,3,3,-14,5,60,56,-2,11,-2,7,4,1,49,70,73,79,22,-6,83,93,32,2,-6,-24,30,-19,27,31,14,17,12,-19,29,55,90,18,9,-17,17,5,19,3,46,-6,4,23,50,27,-6,14,1,31,40,-4,43,11,2,-23,-1,27,-3,-5,3,3,34,22,13,12,-7,0,-1,-7,3,6,-2,0,11,4,6,17,12,53,7,6,30,36,8,23,13,10,65,15,77,80,-16,61,10,12,62,8,61,56,31,49,7,2,-11,29,38,1,10,7,-3,7,24,1,19,14,2,18,59,24,21,39,14,18,-10,13,7,19,11,9,17,4,13,75,-44,17
JAK3 Inhibitor IV (ZM 39923 HCl),5.21121912,21,32,26,-15,11,11,3,9,13,5,-9,24,31,-10,20,-3,13,-9,10,0,12,-2,-4,-21,-1,-20,-33,-7,14,13,21,13,17,1,19,0,18,6,9,9,-14,-19,-11,-10,26,25,-9,21,14,-3,20,-13,-13,-9,10,5,-19,25,-8,4,-6,-4,10,9,10,-12,-12,9,-1,-5,-4,-2,-25,-5,-17,-21,-6,9,4,10,-15,12,18,9,10,11,-3,8,19,21,7,1,9,14,-12,7,3,1,-13,5,17,-1,-31,8,2,22,5,2,20,7,0,0,1,-5,13,1,15,-2,-13,4,27,-7,25,-1,3,10,10,4,19,14,-1,1,18,-26,5,-12,13,-9,38,-10,-16,13,-4,19,-4,10,4,10,23,5,30,12,3,-11,-6,-26,4,-2,-1,6,-4,-7,8,4,-3,-11,0,-5,3,8,-5,0,17,-6,2,0,23,26,-4,-8,17,31,10,18,5,-5,11,-9,-2,9,-18,4,3,10,16,-13,46,-3,-14,19,6,11,-5,22,9,6,21,-10,7,7,11,-27,13,7,0,7,48,3,24,20,14,0,-11,19,9,8,1,-1,0,-1,-3,-6,-4,15
