,UNKNOWN,FES,ABL2,BMX,TEC,IGF1R,TYK2,ZAK,STK39,STK24,MST4,MAP4K4,TNIK,SLK,STK10,PAK4,PKMYT1,CSNK1G1,CSNK1G3,VRK1,GSG2,PLK4,TLK1,ADRBK1,ADRBK2,GRK5,PDPK1,RPS6KA1,RPS6KA6,AKT3,STK38L,CDC42BPB,STK32A,CHEK2,DCLK1,PHKG2,CAMK2A,STK33,SNF1LK2,PRKAA1,PRKAA2,STK17A,STK17B,PIM2,PIM3,PIM1,NEK1,NEK2,CAMKK2,STK16,GAK,AAK1,CDK9,CDK2,PCTK2,MAPK8,MAPK13,MAPK3,MAPK7,CDKL1,SRPK1,SRPK2,CLK3,CLK4,DYRK1A,DYRK2,CDC7,TTK,GUCY2D
GI261520A,7.761144598,0.25,1.01,1.34,0.49,0.18,-0.03,-0.46,0.44,0.67,0.49,-1.66,0.87,0.77,5.16,1.54,-0.63,0.39,0.06,0.59,1.66,1.36,0.99,-0.11,-0.05,-0.9,-0.06,0.05,-0.04,0.02,0.19,0.32,0.16,3.86,0.48,-0.35,0.4,0.79,-1.53,0.38,1.6,0.79,0.31,2.06,1.75,0.74,0.28,1.28,0.39,1.23,0.76,1.29,0.53,0.8,0.29,0.02,-0.05,0.41,-0.4,0.59,0.08,0.06,-0.02,1.84,0.19,-0.32,0.8,0.91,-0.18
GI261520X#4,4.045169959,0.25,1.01,1.34,0.49,0.18,-0.03,-0.46,0.44,0.67,0.49,-1.66,0.87,0.77,5.16,1.54,-0.63,0.39,0.06,0.59,1.66,1.36,0.99,-0.11,-0.05,-0.9,-0.06,0.05,-0.04,0.02,0.19,0.32,0.16,3.86,0.48,-0.35,0.4,0.79,-1.53,0.38,1.6,0.79,0.31,2.06,1.75,0.74,0.28,1.28,0.39,1.23,0.76,1.29,0.53,0.8,0.29,0.02,-0.05,0.41,-0.4,0.59,0.08,0.06,-0.02,1.84,0.19,-0.32,0.8,0.91,-0.18
GR105659X,2.611777174,0.8,2.04,0.68,0,0.76,3.56,-0.45,1.84,2.9,2.74,2.52,5.24,1.26,3.83,1.79,-0.45,3.7,1.68,1.31,1.78,6.52,1.51,0.58,-0.03,3.25,5.87,1.22,1.25,0.08,2.58,2.17,0.05,3.54,-0.01,2.51,2.63,7.81,4.78,3.09,6.59,6.19,7.45,3.04,4.28,2.88,0.32,1.33,5.12,5.2,5.22,7.43,1.46,2.07,0.68,2.45,-0.18,0.29,0.23,0.09,0.11,-0.2,0.56,4.68,4.16,6.56,0.07,4.95,-0.75
GR269666A,4.971186328,0.13,0.32,1.09,-0.07,0.16,0.47,-0.56,-0.56,-0.31,0.01,-1.45,0.29,-0.96,0.49,0.8,-0.93,0.23,-0.05,0.46,0.07,0.04,0.22,0.29,-0.03,-0.37,-0.28,0.1,-0.04,-0.37,-0.54,-0.72,-0.66,1.31,0.21,-0.54,-0.39,0.31,2.43,-0.16,0.84,3.24,2.19,0.55,0.76,0.22,-0.13,0.04,0.38,0.41,-0.67,0.91,-0.03,-0.28,0.08,0.31,-0.72,0.12,-0.26,-0.2,0.14,-0.08,-0.33,0.38,0.94,0.52,0.02,3.6,1.17
GSK1023156A,1.697993872,0.35,0.93,-0.3,-0.09,0.05,-0.03,,-0.38,-0.34,-1.39,0.03,1.21,2.41,6.05,1.59,-0.06,2.3,0.24,0.89,0.79,1.4,0.15,-0.26,-0.13,-0.09,0.3,3.74,4.54,-0.41,0.14,0.72,1.82,0.77,-0.23,0.53,0.88,1.99,0.57,-0.02,0.7,1.54,0.79,1.51,1.08,1.13,-0.14,0.84,2.7,2.85,2.35,4.03,0.21,-0.11,-0.43,1,-0.05,0,-0.55,0.57,0.38,0.22,0.15,4.77,0.17,-3.46,0.6,1.8,0.47
GSK1030058A,3.248989866,0.01,0.36,0.02,-0.73,-0.04,0.37,-0.39,-1.16,0.23,-0.06,-0.68,0.73,3.64,3.41,0.17,-0.7,0.33,-0.12,0.34,0.07,3.38,0.18,0.14,-0.16,0.67,0.47,1.89,1.59,-0.56,-1.18,-0.69,-0.46,0.26,0.1,-0.29,-0.06,0.98,5.26,0.88,1.68,-0.38,1.52,-0.2,0.3,-0.68,-0.3,2.26,-0.08,3.13,3.42,0.48,0.1,-0.13,0.3,-0.11,-0.43,0.1,-0.41,-0.5,-0.5,-0.32,0.06,-0.36,-0.62,-0.38,-1.69,1.65,-0.43
GSK1030059A,-1.755494511,0.05,0.02,0.52,-0.19,0.04,0.17,-0.17,-0.41,0.7,0.53,-0.07,1.22,1.85,2.81,0.72,-0.59,0.35,0.04,0.59,0.45,0.04,0.07,0.13,-0.08,-0.51,0.29,0.65,0.08,-0.34,-0.58,0.83,-0.17,0.14,0.19,-0.56,0.07,1.14,0.93,0.27,0.49,-0.87,0.39,0.73,0.66,0.29,-0.08,1.55,-0.11,1.8,1.93,1.37,0.35,-0.36,0.37,-0.51,-0.34,0.4,0.04,-0.24,-0.31,0.07,0.07,0.2,0.11,-0.3,-0.94,0.86,0.29
GSK1030062A,0.322578585,-0.02,1.52,0.51,-0.57,-0.01,1.08,-0.01,-0.39,-0.85,-0.23,-0.17,0.15,2.71,6.05,1.92,-0.82,0.67,0.01,-0.25,0.59,2.08,-0.09,-0.18,0,-0.09,0.44,0.15,0.99,-0.12,-0.43,-0.37,-0.45,0.06,-0.17,-0.54,0.2,0.49,3.5,0.04,0.29,-0.14,0.48,0.06,-0.32,-0.63,-0.13,0.53,-0.42,2.46,1.84,1.12,-0.24,-0.37,-0.03,-0.15,0.04,-0.25,-0.05,-1.17,-0.22,-0.15,0.06,-0.38,-0.97,1.8,-1.36,0.2,0.27
GSK1173862A,7.887362663,6.59,0.32,0.62,-0.3,5.32,3.99,-0.15,8.29,2.3,0.81,3.27,3.58,1.53,2.17,5.77,-0.18,8.23,7.48,1.09,0.64,8.87,1.3,1.93,-0.45,4.75,0.26,3.9,3.38,-0.17,5.08,1.83,0.71,12.87,4.8,6.94,5.65,15.4,2.5,2.73,4.92,1.59,3.31,5.29,6.14,5.91,0.69,1.57,8.64,4.19,12.71,8.35,1.64,1.89,0.51,10.43,1.21,2.34,3.42,0.32,2.06,1.65,2.14,9.46,8.44,10.51,1.56,13.78,0.31
GSK1220512A,7.881698351,6.54,0.27,0.2,-0.28,5.08,2.36,-0.27,7.71,1.55,0.34,2.13,1.67,3.61,1.51,2.99,-0.41,5.66,4.81,0.57,0.26,8.83,0.87,1.01,-0.54,3.05,0.56,2.32,2.75,-0.21,3.55,2.26,0.35,13.77,5.25,7.13,6.6,15.64,3.14,2.72,4.13,2.6,3.84,3.47,4.79,4.16,0.29,1.32,8.22,3.34,9.86,7.77,0.9,0.49,0.34,9.81,0.33,1.56,4.12,-0.09,0.57,0.67,1.91,7.33,6.27,6.72,-1.04,14.33,0.37
GSK1326255A,7.85746233,6.29,0.48,0.41,-0.26,5.24,3.69,-0.62,7.36,0.88,0.74,2.7,2.97,4.18,2.39,3.4,-0.27,7.44,6.78,0.91,0.39,8.58,1.72,3.29,0.24,6.35,0.19,3.66,0.8,-0.36,5.31,1.67,1.37,13.93,5.06,6.72,5.81,14.3,2.53,2.95,5.31,1.5,3.79,5.44,6.68,5.21,0.69,3.36,8.75,4.29,10.36,7.12,1.55,1.56,0.69,10.83,0.9,2.2,3.43,0.41,1.79,1.52,1.43,8.93,7.43,7.81,1.6,13.6,-0.52
GSK1392956A,2.766774856,2.38,-0.13,-0.13,-0.19,4.4,0.23,-0.82,0.78,0.06,-0.12,-0.65,0.12,-0.34,-0.48,0.12,-0.44,2,2.1,0.13,-0.26,5.74,0.53,0.4,-0.36,0.14,-0.22,1.17,0.48,-0.47,-0.32,-0.11,0.23,6.47,0.34,1.84,0.72,14.13,-0.05,0.6,1.11,-0.47,-0.05,0.06,1.66,0.17,-0.31,0.85,0.61,1.65,7.18,2.71,0.35,0.23,0.2,7.59,-0.63,0.81,0.39,-0.24,0.07,0.02,0.89,4.65,1.07,2.64,-0.87,11.27,-0.37
GSK1713088A,6.331721534,2.42,0.7,0.8,-0.42,3.64,1.09,-0.31,0.63,0.43,-0.06,0.02,0.56,1.13,0.94,3.08,-0.93,5.6,3.65,-0.44,-0.19,1.84,0.5,0.64,-0.71,7.37,0.07,2.51,2.17,-0.64,-0.91,1.86,-0.3,1.48,1.83,1.6,2.94,9.83,0.25,1.4,2.25,-0.03,1.19,4.07,4.77,5.35,0.08,-0.08,1.36,2.95,1.7,0.6,0.73,0.57,0.56,4.18,0.44,3.14,1.12,0.69,-0.32,0.78,0.28,5.02,3.3,1.6,-0.9,5.14,0.31
GSK1751853A,4.89732943,4.02,0.1,0.39,-0.08,3.7,0.93,0.05,0.72,0.5,0.01,-0.18,-0.06,0.26,-0.05,0.44,-0.48,1.73,0.97,-0.29,0.49,1.29,0.39,-0.01,-0.35,1.83,-0.04,0.49,-0.32,-0.26,-0.34,1.28,-0.2,3.48,0.25,0.01,0.5,5.69,0.77,0.45,1.52,-0.91,-0.13,-0.49,0.81,0.17,0.13,0.7,0.7,2.74,0.69,0.15,0.2,0.7,0.6,4.12,0.93,1.29,0.5,-0.01,0.08,0.38,-0.06,2.52,0.12,0.3,-1.08,3.4,0.35
GSK180736A,1.561237332,0.27,0.51,0.25,0.53,0.24,0.07,-0.53,1.25,0.38,0.74,-0.36,0.28,-0.31,0.19,0.35,-0.47,-0.13,-0.23,0.17,0.13,2.47,0.02,5.11,2.23,1.32,-0.11,-0.02,0.25,-0.18,1.12,0.82,-0.03,0.24,1.3,-0.38,0.71,1.49,0.46,1.98,2.62,-0.31,1.2,0.79,0.43,-0.33,-0.14,-0.2,0.2,-0.22,-0.36,1.87,-0.06,1.16,0,-0.1,-0.01,1.3,0.05,-0.2,-0.2,0.2,0.1,1.99,0.93,0.36,-0.26,0.43,0.09
GSK1819799A,1.413940715,3.63,0.1,0.06,-0.11,2.46,0.74,-0.76,0.9,0.53,-0.09,-0.41,0.09,0.41,-0.32,0.16,-0.63,1.13,0.58,-0.01,-0.26,3.21,0.37,0.45,-0.23,1.45,-0.36,0.69,0.57,-0.4,-0.47,1.55,0.02,2.82,-1.74,2,0.36,9.25,0.2,0.3,0.93,-0.77,1.18,0.56,1.89,-0.03,-0.29,1.53,0.92,1.61,5.12,1.18,0.28,0.2,0.38,7.85,-0.25,0.65,0.41,-0.09,0.3,0.19,0.19,1.92,1.01,1.58,-1.64,10.06,-0.29
GSK182497A,4.673076938,0.87,0.79,0.53,0.79,0,0.78,0.03,0.57,1.36,2.27,0.02,0.98,2.02,4.96,0.56,0.74,0.6,-0.13,0.15,0.27,1.76,1.09,-0.44,0.1,1.39,0.37,0.41,0.02,0.05,0.55,0.82,0.23,,-0.26,0.03,0.36,0.36,0.14,0.49,0.45,0.77,2.6,2.52,1.85,1.33,-0.03,3.58,0.9,0.29,0.96,0.42,-0.11,-0.18,2.51,0.91,-1.13,-0.28,-0.18,-0.04,0.34,0.54,0.33,0.94,0.44,0.43,-0.12,0.23,0.16
GSK192082A,6.348943499,0.59,0.74,0.19,1.41,0.17,0.51,-0.69,0.62,2.43,1.75,1,1.02,1,5.92,0.44,0.87,0.9,-0.63,-0.31,0.18,2.3,0.6,-0.09,-0.03,2.97,0.11,0.01,0.47,-0.29,-0.77,-0.68,-0.15,2.36,0.2,0.06,0.55,0.39,1.13,-1.68,0.76,0.42,2.08,2.03,1.72,1.62,0.05,5.03,0.92,-0.21,0.31,1.02,0.43,0.66,0.27,0.86,0.02,-0.26,-0.43,0.38,0.59,0.42,-0.06,0.83,1.06,0.04,0.39,0.84,0.21
GSK200398A,4.658126772,0.21,0.69,1.64,-0.61,0.27,0.37,0.11,0.3,0.35,0.37,1,0.91,0.35,6.95,0.22,-0.46,1.5,0.28,0.06,0.62,1.87,0.2,-0.27,0.13,-1.11,0.43,0.04,0.78,-0.02,-0.1,0.18,-0.08,3.65,0.07,-0.52,0.41,1.05,1.67,0.15,1.02,2.48,3.8,0.58,0.54,0.35,0.01,0.77,0.22,0.3,0.77,3.03,0.19,0.66,0.21,0.12,0.33,-0.17,-0.17,-0.26,-0.09,0.17,0.16,0.28,-0.67,0.1,-0.06,0.48,0.36
GSK204925A,2.296000518,0.07,0.52,-0.01,-0.16,-0.22,1.08,-0.61,0.15,-0.41,-0.61,2.71,0.54,2.99,5.35,0.65,0.39,0.78,0.23,0.44,-0.07,2.02,-0.36,-0.44,-0.26,0.63,1.27,0.49,0.48,0.07,0.09,-0.16,0.46,0.43,-0.17,0.1,0.31,1.18,3.01,-0.07,0.35,1.31,2.28,-0.39,0.64,-0.28,-0.06,1.51,0.2,1.25,3.19,2.93,-0.19,-0.14,-0.01,0.48,0.01,0.02,-0.2,-0.08,-0.09,-0.05,0.24,0.54,0.62,-3.05,0.45,0.24,0.28
GSK2186269A,2.609954008,4.53,-0.11,0.48,-0.41,6.94,-0.05,-0.42,-0.23,0.08,0.43,-1.76,-0.03,0.38,0.32,0.35,0.63,0.26,-0.02,-0.04,-0.09,0.11,0.14,0.06,-0.27,0.15,-0.46,0.12,0.21,-0.22,-0.52,-0.2,-0.29,0.79,-0.29,0.38,-0.13,5.23,0.11,0.23,0.33,-0.44,0.83,0.45,-0.07,0.67,-0.17,0.19,-0.01,0.1,0.07,-0.09,0.13,0.04,0.54,0.6,-0.22,0.1,-0.08,0.39,0.32,0.46,-0.17,1.29,-0.09,3.04,-0.3,1.89,-0.43
GSK2219385A,-0.110976233,0.79,-0.14,0.5,-0.49,4.47,0.94,-0.1,-0.16,-0.09,-0.47,-1.86,-0.13,-0.1,-0.35,0.65,,2.16,3.5,-0.19,1.32,0.31,-0.21,-0.11,-0.24,3.58,-0.39,-0.05,0.04,-0.08,-0.46,-0.34,-0.52,2.49,-0.21,-0.07,0.18,1.94,0.01,0.17,0.63,-0.39,0.13,0.32,0.63,1.2,-0.3,0,0.11,1.66,1.75,0.18,-0.09,0.15,0.56,1.7,-0.1,0.51,-0.1,0.08,-0.13,0.41,0.15,4.26,0.27,-0.9,-0.12,0.96,-0.51
GSK2220400A,4.359123449,5.58,0.03,0.49,-0.55,7.05,1.8,-0.18,0.22,-0.24,-0.04,-1.82,-0.07,-0.22,-0.08,0.62,-0.86,2.52,0.78,0.28,1.43,1.1,-0.29,0.42,-0.3,6.87,-0.21,0.41,0.34,-0.24,-0.66,-0.15,0.07,5.7,0.67,0.32,1.06,7.84,-0.26,0.41,1.38,-0.33,-0.14,1.05,5.16,7.21,-0.22,0.27,0,2.29,1.6,0.23,0.06,0.15,0.42,3.34,0.83,0.64,0.09,0.37,-0.1,1.08,0.06,7.38,-0.06,-3.19,-0.02,2.93,-0.71
GSK237700A,4.110088097,0.21,0.4,0.71,0.14,-0.37,0.48,-0.05,-0.16,,-0.86,-1.96,1.26,3.65,8.19,1.19,,0.88,0.39,0.75,-0.13,4.67,-0.54,-0.45,-0.53,1.51,1.58,0.03,0.37,-0.08,-0.63,0.7,0.72,0.72,-0.35,0.15,0.43,3.82,3.34,1.04,1.38,0.01,0.12,0.33,-0.53,-0.53,-0.26,1.22,0.1,3.76,3.61,2.57,0.04,-0.18,1.18,1.27,-0.69,0.01,-0.52,-0.45,-0.02,0.39,0.03,2.14,0.3,-3.5,-0.23,0.86,-0.34
GSK237700A,3.335099689,0.21,0.4,0.71,0.14,-0.37,0.48,-0.05,-0.16,,-0.86,-1.96,1.26,3.65,8.19,1.19,,0.88,0.39,0.75,-0.13,4.67,-0.54,-0.45,-0.53,1.51,1.58,0.03,0.37,-0.08,-0.63,0.7,0.72,0.72,-0.35,0.15,0.43,3.82,3.34,1.04,1.38,0.01,0.12,0.33,-0.53,-0.53,-0.26,1.22,0.1,3.76,3.61,2.57,0.04,-0.18,1.18,1.27,-0.69,0.01,-0.52,-0.45,-0.02,0.39,0.03,2.14,0.3,-3.5,-0.23,0.86,-0.34
GSK269962B,2.490352679,-0.86,0.31,-0.01,0.01,0.38,0.17,-0.11,0.25,0.67,0.21,-1.71,0.06,0.07,0.84,0.23,-0.52,0.65,0.22,-0.12,5.39,4.57,-0.79,-0.25,-0.27,-0.27,0.62,0.16,0.28,1.93,3.44,-1.03,-0.2,0.37,0.49,-0.31,-0.07,1.46,-1.39,0.38,1.85,1.35,6.9,2.09,1.41,2.03,0.18,-0.53,-0.16,1.77,0.56,8.82,1.1,0.98,-0.09,2.62,0.36,0.29,-0.36,-0.44,-0.6,-0.21,0.48,2.73,-1.21,-0.25,-0.07,-0.01,0.39
GSK270822A,3.985369295,1.01,1.27,0.87,-0.85,-0.13,-0.47,-0.5,0.25,2.32,1.88,-0.25,0.04,,0.1,0.59,0,-0.32,-0.05,0.32,0.46,0.39,-0.06,3.82,0.8,3.92,-0.27,-0.29,0.13,-0.07,2.93,0.58,0.41,0.26,0.51,-0.14,0.16,3.88,-0.29,3.61,4.72,-0.89,0.22,0.17,0.2,0.02,-0.22,0.32,0.35,0.48,-0.38,0.98,0.1,1.3,0.21,-0.04,-0.04,3.25,0.06,-0.43,-0.12,0.04,-0.24,2.76,0.77,0.23,-0.42,0.5,-0.56
GSK299115A,2.565103509,0.53,0.54,0.84,0.28,-0.27,-0.07,-0.36,0.44,3,2.37,-1.71,-0.11,-0.11,0.71,0.59,-0.07,-0.21,-0.31,0.35,0.26,1.86,0.61,4.83,1.9,3.55,0.09,-0.04,0.05,-0.28,4.29,2.21,0.97,0.93,0.99,-0.09,0.22,3.16,-0.58,2.64,3.82,0.12,1.41,0.78,1.08,0.86,-0.27,0.44,0.57,0.55,-0.65,2.53,0.6,0.55,0.23,0.66,-0.17,3.46,-0.11,0.01,0.45,0.04,0.44,4.35,1.67,0.93,0.23,0.84,-0.22
GSK300014A,5.918394383,1.05,0.24,1.2,0.64,0.04,1.01,0.98,2.19,1.51,4.15,0.47,2.55,2.02,3.24,1.41,-0.22,-0.19,-0.44,1.94,-0.24,2.9,2.75,-0.13,0.09,1.62,0.65,0.69,1.54,0.2,0.65,0.77,0,,-0.01,1.25,1.37,0.77,0.3,0.83,0.62,1.56,5.79,5.19,1.87,3.68,-0.29,4.18,2.2,0.63,1.27,0.74,1.95,1.32,0.98,0.85,0.49,-0.25,-0.59,-1.29,2.93,1.53,0.63,1.7,1.06,0.22,1.52,1.82,1.99
GSK312948A,3.283433795,0.53,1.54,0.43,-0.39,-0.13,2.17,-0.71,-1.41,-0.37,-0.14,-1.5,2.38,4.98,10.06,0.68,-0.09,0.85,0.6,2.68,0,3.46,0.03,0.27,-0.24,1.52,1.51,2.66,2.06,-0.7,-0.46,-1.47,0.55,1.65,0.12,-0.08,0.19,3.53,-0.33,0.97,2.25,0.4,2.16,0.13,1.54,0.33,-0.37,2.93,1.52,2.83,3.01,5.95,0.49,0.31,0.06,0.25,-0.83,-0.03,-0.42,-0.15,1.19,-0.07,0.27,2.58,0.94,2.95,-0.14,0.7,-0.99
GSK317315A,2.043452342,-0.37,0.34,-0.49,-0.85,0.07,0.15,0.45,-1.22,0.37,-0.51,-0.37,0.63,2.54,7.01,1.69,-1.92,0.32,-0.39,0.16,-0.01,0.97,0.02,0.2,-0.22,1.2,1.19,0.12,-0.28,-0.67,,-0.33,0.08,0.08,0.07,0.24,1.94,0.98,3.36,-0.53,1.06,0.34,-0.5,1.91,3.21,2.37,-0.12,1.41,3.53,5.77,2.25,5.1,0.46,-0.86,-0.35,-0.1,-0.13,-0.25,-0.51,-1.04,1.68,-0.23,0.71,2.7,-0.79,1.49,-1.31,0.75,-0.32
GSK317354A,0.648473207,0.06,0.25,-0.01,-0.53,-0.57,0.14,-0.54,-0.15,1.67,1.34,-0.38,0.3,-0.07,-0.39,0.06,,-0.71,-0.35,0.33,0.13,2.78,0.77,3.78,1.65,2.29,-0.42,-0.01,0.29,-0.36,1.05,0.14,-0.16,,0.03,-0.54,0.58,1.39,-0.63,2.96,2.96,-0.36,2.39,1.06,0.93,0.41,-0.52,0.67,-0.14,0.62,-0.9,0.19,0.49,0.83,0.24,0.27,-0.29,0.66,-0.21,-0.1,-0.03,0.03,-0.36,0.79,0.35,0.09,-0.63,0.11,-0.94
GSK319347A,4.592303107,0.03,0.79,0.77,-0.48,-0.27,-0.18,-0.43,-0.23,1.14,0.5,0.91,1.63,2.11,4.5,1.66,-0.64,0.33,0.2,0.62,0.19,4.28,0.55,0.35,0.03,-0.45,3.85,3.09,0.47,-0.43,-0.93,-0.03,0.02,0.28,0.01,2.17,3.56,3.56,1.34,1.77,3.74,2.15,5.09,1.31,0.74,-0.18,-0.17,3.14,0.24,4.66,6.37,9.98,0.43,-0.25,0.37,0.14,-0.33,0.25,0.14,-0.2,0.94,0.13,0.57,2.43,-0.81,-0.24,-0.34,0.84,0.14
GSK466314A,3.447163313,0.12,0.55,-0.04,-0.32,-0.03,0.33,-0.28,0.11,1.35,0.92,0.07,-0.39,,0.33,1.16,0.28,0.08,-0.13,-0.39,1.04,1.68,0.24,1.54,0.26,3.54,-0.06,0.17,0.31,0.09,1.9,1.33,0.35,0.63,0.54,0.13,-0.16,5.16,-0.31,3.24,4.5,1.43,-0.07,0,-0.08,0.31,-0.02,0.35,0.22,0.46,0.69,3.28,-0.2,-0.37,-0.28,0.3,0.2,2.57,0.05,-0.65,-0.28,-0.17,0.71,2.12,0.77,0.17,0.62,0.46,0
GSK466317A,0.113276259,0.11,0.73,0.5,-0.94,-0.21,0.49,-0.47,-0.09,2.22,1.85,0.03,0.46,,-0.23,1.44,-0.35,2.12,0.05,0.46,0.44,1.01,0.16,2.94,0.15,3.48,-0.08,0.22,0.79,0.1,2.99,2.21,-0.02,-0.41,0.61,0.12,0.73,4.4,0.48,4.57,5.94,-1.14,-0.29,0.24,0.37,0.11,-0.35,0.35,0.41,0.64,0.04,1.44,0.66,0.94,0.31,0.86,0.04,2.47,-0.02,0.12,-0.09,-0.01,-0.7,2.5,1,0.74,-0.49,0.6,-0.58
GSK554170A,1.114937392,-0.04,0.11,-0.17,-0.44,0.09,0.66,-0.18,-0.03,-0.47,0.07,-0.06,-0.36,0.87,0.61,5.61,-0.69,0.35,0.32,-0.5,0.04,0.18,0.19,-0.01,-0.02,-0.4,1.13,0.15,0.18,1.04,0.45,1.29,0.2,0.54,1.57,-0.02,0.24,0.17,4.63,-0.27,1.31,0.23,0.06,4.37,3.85,3.09,-0.09,0.42,-0.34,0.16,0.17,1.9,-0.19,-0.41,-0.12,-0.34,0.02,-0.43,0.06,-0.51,-0.33,-0.22,0.08,0.23,-0.69,0.12,1.05,0.09,0.33
GSK561866B,2.310950685,-0.08,-0.07,-0.29,-0.56,-0.32,0.1,-0.77,-0.95,-0.1,-0.24,-0.43,-0.27,0.05,-0.2,0.18,-0.41,-0.11,-0.06,-0.1,0.87,0.01,0.43,1.04,0.07,0.51,3.09,0.65,-0.1,-0.26,0.48,1.56,0.15,0.26,0.13,-0.84,-0.17,-0.31,0.45,-0.39,0.78,0.06,2.29,2.59,3.04,3.74,-0.43,1.7,-0.31,0.76,-0.18,2.41,0.01,-0.06,0.06,-0.27,-0.58,0.06,-0.16,-0.51,-0.42,-0.3,-0.34,0.05,-0.37,-0.15,-0.72,-0.29,-0.56
GSK571989A,6.003641726,0.33,0.23,-0.29,-0.63,-0.01,0.41,-0.22,-0.67,-0.65,0.35,1.26,0.88,2.99,6.96,0.77,-0.38,0.18,0.24,0.43,1.04,0.47,-0.65,-0.1,-0.29,1.58,1.11,1.23,0.57,-0.66,-0.81,-0.32,0.66,0.76,0.16,0.9,2.06,2.65,3.94,1.33,2.38,-0.77,-0.22,1.41,4.91,6.29,-0.61,3.98,1.22,2.07,2.9,5.34,0.65,-0.51,-0.39,0.16,-0.27,-0.01,-0.67,-0.33,0.22,-0.11,0.21,3.44,-0.27,-3.28,0.61,0.68,-0.37
GSK579289A,5.074518116,0.53,0.23,-0.02,0.21,-0.23,-0.02,-0.03,0.15,-0.16,0.07,-1.95,0.89,3.73,6.9,3.33,-1.5,-0.02,-0.06,0.37,0.6,0.42,-0.28,0,-0.43,0.48,0.52,-0.14,-0.29,-0.4,-0.63,0.24,0.46,0.21,0.26,0.22,2.49,1.18,3.35,1.92,2.63,-0.62,-0.13,1.12,4.54,6.51,-0.23,2.33,0.33,-0.88,1.04,2.76,0.9,-0.69,0.32,0.08,-0.25,0.02,-0.3,-0.03,0.93,0.2,0.03,3.17,-0.27,-3.34,0.02,-0.08,0.03
GSK605714A,3.128436113,0.13,0.05,-0.21,-0.81,-0.09,1.42,-0.48,-0.95,0.03,0.07,-0.19,0.29,-0.2,-0.15,-0.09,-0.84,1.12,0,0.51,2.08,0.9,0.37,0.39,0.04,,-0.13,1.69,0.22,-0.32,-0.05,0.06,-0.18,,-0.07,-0.07,0.18,0.35,-0.37,0.19,0.56,1.02,1.25,0.42,0.21,0.19,-0.5,0.44,-0.06,0.87,-0.31,1.8,0.51,-0.04,-0.16,0.24,-0.69,0.12,-0.24,-0.46,0.05,-0.09,-0.3,1.55,0.86,2.42,0.62,0.2,-0.27
GSK614526A,1.475127509,0.19,0.1,-0.14,-0.7,-0.3,-0.06,-0.93,-0.48,-0.05,0.2,-0.53,0.13,0.78,-0.4,6.46,-0.82,0.13,0.29,0.32,0.53,-0.22,0.33,0.72,-0.09,0.58,1.95,0.25,-0.13,0.97,0.59,2.53,0.2,0.77,0.38,-1.34,-0.11,1.32,4.15,0.76,1.33,0.05,0.34,4.12,3.47,2.05,-0.57,0.93,-0.26,0.13,-0.59,3.34,0.03,0.2,0.33,-0.47,-0.65,0.31,-0.33,-0.35,-0.16,-0.22,-0.2,0.43,-0.84,-0.2,0.92,0.12,-0.41
GSK619487A,1.712944038,0.2,0.07,-0.1,0.13,-0.26,0.14,-0.44,-0.47,-0.24,0.12,-0.59,0.03,-0.01,0.05,6.82,-0.43,0.63,0.59,0.01,1.05,0.03,0.46,0.41,-0.1,1.6,1.22,0.2,0.28,1.44,0.13,1.94,0.44,0.32,1.44,-0.72,-0.1,1.48,4.5,2.44,3.81,0.62,0.54,5.72,5.06,4.58,-0.17,0.68,-0.17,0.46,-0.04,2.54,-0.06,0.17,0.31,-0.32,-0.41,0.32,0.21,-0.24,-0.17,-0.22,-0.07,0.65,-0.18,-0.13,0.45,-0.61,-0.03
GSK620503A,0.397329416,0,0.46,1.01,-0.22,-0.29,0.92,-0.17,-0.02,0.13,-0.36,-1.8,0.14,0.35,0.17,0.53,1.09,1.68,-0.1,-0.11,-0.07,-0.1,-0.24,-0.15,-0.29,-0.05,-0.2,0.74,0.44,0.12,0.18,-0.29,-0.44,0.17,-0.23,-0.26,-0.05,-0.05,0.68,0.47,0.94,-0.02,0.05,-0.19,-0.88,0.23,-0.16,0.08,-0.2,0.27,0.71,0.27,-0.08,-0.21,0.69,0.15,-0.21,0.23,-0.31,0.35,-0.11,0.27,0,0.85,0.04,-2.05,1.85,0.31,-0.47
GSK625137A,4.523575276,0.05,1.97,1.08,-0.62,-0.21,3.03,-1.03,-0.91,-0.33,-0.43,0.19,0.47,0.19,-0.13,2.07,,3.26,-0.13,0.08,1.75,-0.15,0.41,0.05,0.01,-0.21,-0.19,5.4,3.8,-0.45,0.96,-0.45,0.54,,-0.31,-0.62,0.23,-0.4,2.23,0.28,1.14,-0.01,-0.22,1.19,0.62,0.06,-0.46,0.36,-0.3,1.63,3.23,2.34,0.45,-0.73,-0.03,0.15,-0.36,-0.07,-0.51,-0.39,-0.3,-0.24,-0.37,7.6,0.34,1.91,2.58,0.09,-0.5
